diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},82db6ec45c51dc3bfd8126a523a5e68020ff73d5,2D,"(1.0, 1.0)","(1192, 2332)",38.05092627234738,0.0,255.0,76448d348d291d9380a90ddf46ec748759a22e95,"(1.0, 1.0)","(1192, 2332)","(0, 0, 1192, 2332)",725266,145,"(337.70450289962577, 1110.5845924116118)","(337.70450289962577, 1110.5845924116118)",71.0,150.0,9400549417.0,2.3530459008355598,51.0,2.792864723301623,255.0,26.384839716705912,109.45743630612769,109.0,62.0,193.0,20.546455877495436,113.84866938666272,0.48537145527526593,9400549417.0,0.21503489088908506,980.5891584036342,10.028952413002699,116.85817758722239,6.108914186918371,6.535599227924316,0.1063721304479749,0.9679345407070186,0.08731636447642424,0.432677644914931,0.09850643743059491,0.9587792223470357,0.9581639676114655,0.9987359119567017,0.9914268097097513,-0.7910471101898213,0.9875272889588051,0.07703224854967425,2.902007027695162,0.18502941289301142,2.832531562224612,0.9741640263809428,0.2508351789098144,5.804014055390326,2.713447831127691,1.6604928395930723,3.7904082541936033,414229.4272308367,0.5711413843070496,2.220187123753262,155957.49517556318,1.6922519551028536,10.088211773335576,70.87126378459764,703.9352968428135,18.529957427967386,0.26517327631439797,0.020687066634443637,0.21697587439885835,0.005690745690497842,12366.87167917311,0.19136276508686367,2.2432805111246923,11.18584215252709,586.5734480811392,7033.991295360985,115.47790585928266,0.29031746043917694,6.867955903545591,7574.0757895545175,0.11383092994868672,0.08930068416277613,447.88776023584967,0.32894544780084606,3.8410069005154157,0.08981507883367691,832.3617424242424,0.19705533674816345,2.163437464129936,10.620738636363637,19877625.586174242,163780210.3359375,4333801.493133755,0.29746599519261974,797.9095643939394,0.18889904460083792,0.43226249012578627,4.373186294584993,0.13562194818137022,5.898046173755314,0.005824070065327756,19848144.273426514,428.5816527051597,8.141600463569284e-05,3.553023679043284,0.003910595945672811,0.0038123686472299628
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},4058a866471b436affe1f580772590f8a587d12c,2D,"(1.0, 1.0)","(1276, 2344)",55.486368183423025,2.0,255.0,38981a58131c237eaf936e477f3ce27e1d908672,"(1.0, 1.0)","(1276, 2344)","(0, 0, 1276, 2344)",1205846,119,"(389.87369614362035, 1065.177522668732)","(389.87369614362035, 1065.177522668732)",87.0,152.0,17875628794.0,2.056069470165226,27.0,4.546651806219866,255.0,18.812710656277496,119.15812798649247,117.0,66.0,189.0,12.36017967585086,121.75442112790927,0.5368379894273723,17875628794.0,0.2992845819324855,625.4795989469563,11.79424094677995,83.24137435915802,4.353047624205356,4.240776742422021,0.06569828634484698,0.969457580589103,0.062427531153695266,0.33951240247864567,0.061706692922553444,0.9692743357023902,0.9691068629061427,0.999202935915521,0.9937858308327114,-0.815016889549314,0.981869150834219,0.06005918059885019,3.2787903075188054,0.27253082789255,2.4211541224821915,0.9793319840376319,0.4377766888962471,6.55758061503761,2.3513283582509574,1.0766187571917174,3.198848950120207,797256.2144486111,0.6611592313186022,1.6811727542569972,360891.11598495994,1.1018277379958115,11.816164750722729,73.4988862591077,856.9130925507901,10.42162367827994,0.14754187574685787,0.018409876550564655,0.23533702438925388,0.002917614021974595,16459.39403817005,0.20821637102961668,2.1344869470882983,13.568126771124895,2304.016043338987,23310.820212857703,267.90373998125375,0.20129543920750542,6.9189920792824955,8948.79051971886,0.11055919821944138,0.06568334596623449,2053.94331832106,0.3132376578302704,5.051756326268109,0.055573534802955425,1233.379019220406,0.22155182669667792,1.9086211701541673,14.731632836357104,66418258.28309682,695995207.2396264,7396267.912440627,0.15543128940663414,1092.5929585054787,0.19626243192122844,0.43748166560782364,6.312900703142258,0.07135618284736481,5.715670423338504,0.004616675761249778,66371340.09288932,478.2538066270144,5.50213403027249e-05,2.442931707748513,0.0018554419643858214,0.002647011064871245
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},fd57f48f0d705088eecbda92ec7a6ea7ced13c44,2D,"(1.0, 1.0)","(1856, 2964)",23.351083512203918,0.0,255.0,099854a22a3fd06eca7b93fb8521150c3f2a9713,"(1.0, 1.0)","(1856, 2964)","(0, 0, 1856, 2964)",1591335,325,"(471.91482937282217, 1500.8635774365548)","(471.91482937282217, 1500.8635774365548)",45.0,95.0,8032797688.0,1.8307993684357435,26.0,7.98037248092697,255.0,17.1813569733796,67.06270898333788,61.0,37.0,218.0,10.957214061054547,71.04812270870903,1.8506766385249025,8032797688.0,0.3549196245552976,550.4288042479072,5.831010947294283,105.43568126333341,11.494670087133262,3.8493344869537607,0.07195227467689969,0.9632974657928417,0.0713016066358185,0.367737373165066,0.06657027058869715,0.9644210232662266,0.9644068610043374,0.9992886815881207,0.9935223388757171,-0.7749566481666637,0.9698045468572833,0.07102671383758603,2.2105801085141374,0.3152431731006863,2.2401169125989067,0.9806880575912575,0.4972500425304228,4.421160217028275,2.167966785159676,0.9803216904076649,3.1100757090796973,997445.9822432109,0.6267982431374983,1.9861061737654515,564796.0207417043,0.9835915821663391,5.8512475374449755,72.3948502358083,417.2585941992101,25.588529617250806,0.3584731775955629,0.019853837970006474,0.12412609684332261,0.007569851494213987,33055.92511332691,0.2729365932377643,1.4219921552169734,6.618109132894375,1564.1621953045624,7238.222628935229,516.7439160842414,0.4021766879813317,6.410259083243109,17518.380934265988,0.13658522073442347,0.0761260199769376,1338.6141774157081,0.35014707844163045,2.375510782293071,0.1453915370309436,2546.2869493618773,0.262071526282614,1.774747624635151,6.913956360642239,69058688.57770687,299773689.3381021,21160865.092020757,0.4471067617872135,1675.4030465212022,0.17243753051885571,0.39201255493975606,2.8701402184390292,0.17422952725641838,5.596246071231502,0.006105565452905894,69031863.05350474,1139.3404577140695,2.9214551055882198e-05,4.714224154241933,0.001547327185635069,0.0035653316547402253
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},af0279cc7fc79dc065b42b4844927e87aa450974,2D,"(1.0, 1.0)","(1312, 2352)",37.58887253453211,3.0,255.0,2bfd6be7ba30cc9370b250d33db5b489b6965a00,"(1.0, 1.0)","(1312, 2352)","(0, 0, 1312, 2352)",950608,191,"(326.6493644067797, 1099.476348820965)","(326.6493644067797, 1099.476348820965)",64.0,124.0,8628872980.0,1.945268317193278,34.0,4.483409469553098,255.0,19.27064948350945,92.27138420884319,89.0,53.0,202.0,14.198964835408033,95.27441824550593,0.7678305328141356,8628872980.0,0.2869186528761226,563.2064282036368,5.881889471512438,64.50916866270722,5.590367594889063,3.8728549094273212,0.06328517876692673,0.9678378932137129,0.06255675191077217,0.33720819865958485,0.0592766209368221,0.9688119984680186,0.9687896354278657,0.9992296293825874,0.9937502979197057,-0.8046492902943394,0.9777912704283419,0.06217872332513888,2.220246861176147,0.2537941639931891,2.324495259938625,0.9808727785934584,0.35383457334672463,4.440493722352294,2.260337188307397,0.9840350220485619,3.1915936392796374,603295.4148313501,0.6346416344395903,1.6502388128371523,272747.1667732651,0.9887890339493322,5.8937385336542505,73.00045234208001,427.83299845993304,28.622801991919804,0.39228479557534385,0.017972917876809682,0.11076579101189166,0.006970744038516607,18091.50344006435,0.2751478159733262,1.1395807845254715,6.231274881634935,910.1216824873968,4700.400217053762,381.42599637736913,0.3927952361390634,6.889438840004135,5167.115493259913,0.07721007527564655,0.0691368050763301,682.3505211616025,0.24975515351890626,1.6395597150202832,0.09577995233411818,957.8792322047454,0.255366364224139,1.4787271159397926,7.326846174353506,47161238.45641162,235441786.8491069,16446142.380577201,0.3620985323121024,702.286590242602,0.1872264969988275,0.4269177695146693,3.351685210125378,0.14990001856687746,5.611168058113636,0.003945895679396765,47097012.763061345,659.232814514149,6.014329562043343e-05,3.191205716058691,0.001703154309923456,0.004706666005802664
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},3ef1f931d8ae1fca77dc4dc0b1dfd60f808cba70,2D,"(1.0, 1.0)","(1252, 2348)",60.05112025188999,7.0,255.0,0b624699c43264db3bad2be504a7ff601f817230,"(1.0, 1.0)","(1252, 2348)","(0, 0, 1252, 2348)",1371018,191,"(489.4289557102824, 1019.359051449361)","(489.4289557102824, 1019.359051449361)",81.0,134.0,18245577704.0,1.9542625645391478,26.0,8.135584425582271,255.0,19.88378096391193,111.21983081184929,108.0,64.0,191.0,11.155524722413418,115.36052693037357,1.9844032719484195,18245577704.0,0.3282117805256535,938.2004078370634,10.232051160478278,272.81505485668816,26.1482567319794,6.0165029952903994,0.07433192031769466,0.9755696373113261,0.06663475826883969,0.3570964718141179,0.06975336590371697,0.9677776837131562,0.9674227321026512,0.9991048332361679,0.9934025639201932,-0.7987597726068811,0.9772474582967137,0.06146679368780471,2.957449593437699,0.2952098204719463,2.336431588974593,0.9904441472516714,0.45558802160735906,5.914899186875397,2.251003427569645,1.5227087289020238,3.12435596265954,899078.7760452452,0.6557745967195509,1.777943629770874,449984.2589127203,1.5409612138142652,10.271166388770972,73.29268324704708,750.6934963654744,13.647414740559167,0.1899272329760139,0.018909390090001522,0.19832726353848237,0.003833899434938526,23001.463029427818,0.24848875500485915,1.735536534958678,10.56607489215388,1262.264045013791,15472.418775053407,208.55896335548852,0.22504015405307803,6.801156214951348,10774.374535947165,0.11216179682504829,0.06792015130362986,1022.3215098738267,0.3259408605839602,3.6881641019535887,0.07209333521511822,1625.4443194600674,0.22854953873173053,1.615284090262058,10.269403824521934,69866602.18841395,558333891.1850394,10329232.554803722,0.23616729035748366,1273.4724409448818,0.17905967954793053,0.42111921842645206,4.307990911193599,0.10052732053644554,5.921184517566489,0.005187386307109024,69829439.86852424,737.3262519742597,3.979124180577773e-05,2.7720473482939143,0.002667704271356799,0.0026102623511478798
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},9fe1ba08d19e42f315680444321b9f53603ff6f5,2D,"(1.0, 1.0)","(1388, 2312)",43.889794070281106,2.0,255.0,ad6ca03b26f9e8e8483110181466cf9f1e9fd69a,"(1.0, 1.0)","(1388, 2312)","(0, 0, 1388, 2312)",977240,117,"(324.61848471204615, 1174.9117719291064)","(324.61848471204615, 1174.9117719291064)",84.0,137.0,12662099240.0,1.84134833627379,22.0,8.429563546023484,255.0,16.2329841545673,111.36975973148868,109.0,63.0,192.0,9.649577286891775,113.82882136367066,1.376696918839717,12662099240.0,0.36826232645155604,553.7771903929278,9.86440589066716,107.2985190346167,7.686440928379006,3.651424804934149,0.09389184262340176,0.9497581325272875,0.07885673206461065,0.40384621822097133,0.08749770766813046,0.9625911004895078,0.962016131389152,0.998879281757626,0.9922411461385754,-0.7593715693337144,0.9680032518786512,0.06988224170899926,2.9958336979240063,0.33111241133267766,2.2643956492596953,0.9659833122008901,0.5236598026649119,5.991667395848012,2.1619117865773916,0.9363291618893874,3.108040151827939,610756.7780688469,0.6249813536785712,2.136901378258945,359880.67590151855,0.9675809106297353,9.9389863288445,72.20296958781876,694.5770240677828,12.325855234518468,0.17333579500052332,0.020692547402662635,0.23255104048965103,0.0038356671745083813,17645.743830036023,0.22991264469982342,2.315291695371495,12.76535561816768,1387.6114816533143,13022.151360393338,181.16414226632736,0.19500420296491214,6.458973632926362,12466.199927752496,0.15734651674890074,0.07868154189349598,1211.4182784665468,0.3952499442094659,5.883564096907796,0.07541773072706354,1442.5877538648076,0.21864015669366588,2.348603552327071,12.291451955137921,46171805.20763868,421764770.91558045,5714091.29660038,0.20790873851673752,1229.1036677781146,0.18628427823251206,0.4221724735640987,4.829437748922484,0.09212919982001772,5.847959539993623,0.006751667962834104,46149868.176705055,550.6741261285881,4.882760555485961e-05,3.134280156791853,0.0019740876142714135,0.0029224048058912643
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},478087fa6198687321fabf446409d6d9d022033a,2D,"(1.0, 1.0)","(1176, 2364)",41.444026468455405,1.0,255.0,bfe353b9ecf63c3c30bf915c02cbdb42b1cf7f61,"(1.0, 1.0)","(1176, 2364)","(0, 0, 1176, 2364)",717016,521,"(358.2474114943042, 1025.3171449451615)","(358.2474114943042, 1025.3171449451615)",70.0,150.0,9797557353.0,2.3185672538824007,56.0,4.714127407299426,255.0,28.31287021051568,111.87988413089805,114.0,65.0,190.0,22.829980249816078,116.89460930243105,0.785026588537602,9797557353.0,0.21802225929259156,1147.2412108248263,10.901925467765277,291.3902430822336,15.077132110647472,7.78887597460649,0.09759533469072176,0.9751973192589387,0.0721428410018049,0.367665984064798,0.09223305990637985,0.9661300040203051,0.9658964886339845,0.9988975848566422,0.9929686044290453,-0.8247439529779396,0.9888414677606292,0.06514730366405246,2.996514448768087,0.19319056645017507,2.716799801102831,0.9859795027130409,0.284409000262105,5.993028897536176,2.6419045033165327,1.971617827324303,3.6684631911210372,424161.83865632006,0.5915653746308591,1.9548325073022674,156325.4482689368,2.018367656627129,10.873037700692871,71.74415633681815,785.348162384103,18.763325115249224,0.27404908346502116,0.019512525187040754,0.21318077439481395,0.005924246984796832,11939.020592474855,0.2066456540988506,2.629633278338128,10.312362920210278,720.8283953019752,11279.602828742001,124.85517844095152,0.3692374246507282,6.8933127977598705,5935.470922538073,0.09996662756908226,0.08074994142390127,554.6061204927811,0.29517679155834464,3.238113268301605,0.10369070469634606,721.3360085607277,0.19297378506172488,2.5706158404951847,10.967897271268058,24350068.07918673,247805771.04975924,5519193.50716062,0.3460527342488825,738.6393793472445,0.19760283021595626,0.43787102649321863,5.104185620702459,0.1517647153102419,5.703233757289873,0.0052132727861024025,24313273.901631214,337.88065666625914,9.603186831017368e-05,3.02535032733326,0.0040098720726566405,0.0044868395453205034
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},46b726048171907ddf16c8cb60ddb02358c61f6c,2D,"(1.0, 1.0)","(1384, 2332)",42.09760748916805,0.0,255.0,973fbb578576cb1ace92ee199f6e85eb621ceab1,"(1.0, 1.0)","(1384, 2332)","(0, 0, 1384, 2332)",1152651,115,"(361.0092369676511, 1105.9196330892871)","(361.0092369676511, 1105.9196330892871)",81.0,121.0,12511165312.0,1.6356969897126596,14.0,9.791768662483248,255.0,11.957314152831442,102.5852890423901,102.0,56.0,199.0,6.527322400922151,104.18374523930302,0.9351170024671008,12511165312.0,0.4008399159969973,330.5112441772714,7.610595248656733,38.03745263403309,1.597898822130029,2.4183689769053758,0.09641873874201527,0.9231541425157811,0.08979792820960314,0.4409989860844942,0.08815016759022434,0.9560288941481193,0.9557411788532734,0.9988339381076203,0.9910768399056701,-0.7077759466402301,0.9477688781431479,0.08550947328621125,2.651434685498272,0.3451095530892774,2.092702822108686,0.9660942464383837,0.5133656336117428,5.302869370996544,1.9934724163989097,0.6286969289118476,3.1038402170072628,643107.5746683081,0.5579378100294956,2.2935654198805375,462028.530013855,0.6537525123567841,7.680832272734765,70.57397165317168,533.2316520785563,15.11657770502198,0.21466888193867886,0.021476866646310076,0.1777435338427949,0.004820724946817911,34404.876173462646,0.324656597290875,1.2214414584231859,8.636349598761045,983.3043226199077,8121.747353411706,161.11391592763184,0.2197053062610349,6.0144127085399175,14788.42339963469,0.135802728382724,0.09210051437946092,855.2379447731895,0.35383323138379824,3.442092061841299,0.08298628875670537,3187.9921503593146,0.35245905476609335,1.6285676097126311,8.549917081260364,46210474.453620784,382280247.01171917,6562494.95116319,0.23986154092085415,1577.9897180762853,0.17445989144016422,0.4055200119673761,3.4017120898229316,0.10244503903328338,5.435694500548584,0.007847128055239617,46194234.73424211,1019.845281885234,2.759583001247662e-05,4.185911774640975,0.0015930285069927484,0.0022855379425457084
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},358662f8cafc4d661a84c946a7f3f5d916219db5,2D,"(1.0, 1.0)","(1328, 2364)",62.32857094622143,0.0,255.0,03209cbf524d83ac6610854a1897981dbecd6e76,"(1.0, 1.0)","(1328, 2364)","(0, 0, 1328, 2364)",1487078,166,"(418.91154734317905, 1114.8348176760062)","(418.91154734317905, 1114.8348176760062)",83.0,133.0,19700845548.0,1.7099339405876433,20.0,6.7315994098096175,255.0,14.28721323372404,113.4216429803951,117.0,65.0,190.0,9.170044460607642,115.10006231853374,0.07191278637439723,19700845548.0,0.3771280214746841,383.55524935814026,9.804849975346833,51.62415031930337,1.0507175398046766,2.7614506012123634,0.057363547582589276,0.9592754394697498,0.0570605561090466,0.315142540532627,0.054035067721497326,0.9715081129189642,0.971498055726378,0.9993010119829226,0.9942964437122048,-0.7984770543542041,0.9662132918332154,0.056896087358777346,3.021394871045354,0.3430835216310348,2.0426300678591707,0.9903213907461527,0.5201569232372697,6.04278974209071,1.9847813421650988,0.7047035371987385,2.8213484589048607,1006570.9122103885,0.6768783562196391,1.553075488596235,560818.7839185302,0.7172988145435046,9.81506686266625,74.01051726943712,722.2516841752753,11.901459860046812,0.16477259411744277,0.018027857520352016,0.18404943351155545,0.0031088168811022037,26806.072398000586,0.2961984105801128,1.1113753864239686,10.467241624790624,2226.6705453292116,21630.55882954802,279.25645888255895,0.20514068207796046,6.497067430894582,10153.474725048367,0.1096535253968531,0.06097578607174607,1936.5194794257386,0.30476663547216937,3.357070186979804,0.05736592355706831,2398.4555842742484,0.3262760963507344,0.9961893474090191,11.689293973609033,99064738.58304992,954601063.8438308,11611134.183884531,0.16497639060133393,1350.0888314515032,0.1836605674672158,0.4185887164456109,4.940359453694268,0.07056092950301542,5.286945483301904,0.004943251127378658,99023814.90570988,707.9403948195244,3.540662175030141e-05,2.518987016077873,0.0011305280556004953,0.0024147478655940015
v3.0.1,1.25.2,2.3.1,1.6.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},5aa8faa0b7fd799e61e2beef9301b245ff3887ae,2D,"(1.0, 1.0)","(1408, 2332)",39.28400076017464,1.0,255.0,b2dd4ba2195e9eb173e0460c4630f82217d9f7ed,"(1.0, 1.0)","(1408, 2332)","(0, 0, 1408, 2332)",740050,122,"(264.4259901358016, 1198.4313127491387)","(264.4259901358016, 1198.4313127491387)",90.0,158.0,12843058674.0,2.056984286873057,36.0,2.705013525650136,255.0,20.90231692260032,129.2409269643943,134.0,72.0,183.0,15.347949309642273,131.73576623657976,-0.3603470695540577,12843058674.0,0.2725463892217524,651.0949033228868,14.776151359066377,48.848293954601424,-2.8281718394739315,4.288086094162815,0.07508187251387152,0.965562065098439,0.06832515803966803,0.3610438218122125,0.07030243895625377,0.9666518933936505,0.966473286954324,0.9990974130944056,0.9932225951730766,-0.802159314195183,0.9808282572024946,0.06507692615155337,3.704443025148777,0.2426147832723869,2.4457604572983658,0.9741953040490535,0.3759524480829339,7.408886050297554,2.3662214642602573,1.0907919916691717,3.274003937319448,474693.04771028983,0.641433751382055,1.8826108401667285,201697.95534355787,1.1141855688065092,14.778868995338152,72.80688872373489,1078.5924248361598,7.459828155058588,0.10913032996934607,0.019589475177737594,0.28848004216610557,0.002676485983888295,11826.991699993225,0.22103959914748167,1.754558579416357,14.481019439259097,1126.5458092529354,16492.68643369624,106.16211368935055,0.1714773868744222,6.681755513826182,6787.215184024778,0.12438333936654415,0.07229308830484427,918.481566310592,0.3380274546892337,4.857222014897283,0.06947390055590079,897.7225274725274,0.2055225566557984,2.02120315581854,15.371794871794872,22171100.67445055,342538212.6808608,1919602.512899571,0.17359773795218805,901.5686813186813,0.20640308638248198,0.4539110615203136,6.790179525884988,0.08154022818359737,5.704538673925882,0.005902303898385244,22142395.71970454,280.9374762952968,7.9590519437401e-05,2.729368475140465,0.002127155310987331,0.003354785471088546
